,on,in,for,with,at,like,of,to,up,about,from,off,over,into,by,after,than,as,until,before
on,4122,495,141,217,140,51,45.0,105,62.0,22.0,42.0,78.0,48.0,29.0,35.0,15.0,11.0,6.0,8.0,3.0
in,1071,5778,260,274,329,66,59.0,96,101.0,37.0,121.0,34.0,110.0,78.0,41.0,12.0,10.0,6.0,6.0,5.0
for,203,219,3345,266,84,92,73.0,147,20.0,33.0,87.0,12.0,20.0,12.0,35.0,42.0,35.0,19.0,15.0,20.0
with,236,138,195,3317,59,75,59.0,196,15.0,22.0,53.0,10.0,18.0,16.0,44.0,25.0,7.0,5.0,3.0,7.0
at,171,167,176,39,2080,58,8.0,56,6.0,17.0,25.0,2.0,17.0,15.0,12.0,16.0,5.0,,4.0,5.0
like,118,88,159,214,41,1651,32.0,30,7.0,52.0,31.0,4.0,4.0,8.0,20.0,13.0,33.0,15.0,3.0,13.0
of,101,111,177,107,37,105,5621.0,48,13.0,68.0,51.0,6.0,12.0,4.0,21.0,7.0,5.0,2.0,1.0,
to,389,347,345,205,126,51,111.0,5543,51.0,126.0,101.0,36.0,45.0,113.0,66.0,39.0,15.0,12.0,6.0,25.0
up,109,77,28,38,16,11,7.0,17,588.0,1.0,13.0,48.0,33.0,15.0,10.0,2.0,1.0,1.0,1.0,6.0
about,51,30,54,117,12,23,40.0,57,3.0,995.0,15.0,,6.0,12.0,6.0,,1.0,,2.0,3.0
from,77,93,67,39,51,11,22.0,36,12.0,5.0,472.0,41.0,14.0,10.0,9.0,5.0,8.0,,3.0,
off,70,24,15,24,4,1,7.0,6,16.0,,6.0,250.0,6.0,7.0,5.0,1.0,1.0,,,
over,81,84,13,9,13,3,10.0,7,34.0,10.0,3.0,36.0,258.0,4.0,6.0,2.0,1.0,,,
into,45,215,9,8,7,6,2.0,33,10.0,,3.0,10.0,10.0,183.0,1.0,1.0,,,1.0,
by,32,18,13,18,16,3,9.0,13,4.0,4.0,10.0,1.0,8.0,4.0,214.0,6.0,3.0,1.0,2.0,3.0
after,9,18,13,7,36,11,6.0,8,1.0,3.0,5.0,,1.0,2.0,,117.0,5.0,,6.0,14.0
than,1,2,2,3,1,6,4.0,1,,,1.0,,,,,,137.0,,2.0,
as,16,15,47,23,3,40,9.0,6,3.0,2.0,4.0,5.0,1.0,3.0,,8.0,23.0,245.0,5.0,6.0
until,6,3,10,1,2,1,,3,2.0,,2.0,1.0,1.0,,3.0,11.0,,,179.0,10.0
before,11,4,1,6,1,7,2.0,3,1.0,1.0,,3.0,1.0,1.0,,38.0,5.0,6.0,20.0,168.0
