,on,in,for,with,at,like,of,to,up,about,from,off,over,into,by,after,than,as,until,before
on,3649.0,782,322,310.0,202,55.0,33.0,148.0,123.0,24.0,70.0,110.0,80.0,53.0,76.0,26.0,9.0,7.0,11.0,10.0
in,1161.0,4703,287,398.0,392,67.0,78.0,172.0,86.0,69.0,152.0,47.0,117.0,77.0,68.0,19.0,12.0,15.0,10.0,9.0
for,284.0,399,2480,417.0,118,192.0,85.0,164.0,25.0,57.0,91.0,19.0,24.0,17.0,62.0,63.0,39.0,15.0,28.0,14.0
with,318.0,213,296,2756.0,55,98.0,38.0,236.0,24.0,32.0,52.0,14.0,17.0,18.0,50.0,36.0,18.0,6.0,6.0,9.0
at,141.0,211,215,45.0,1873,69.0,12.0,56.0,6.0,22.0,43.0,1.0,4.0,13.0,14.0,14.0,2.0,,6.0,3.0
like,115.0,105,166,205.0,44,1380.0,19.0,21.0,10.0,43.0,18.0,4.0,10.0,14.0,8.0,14.0,7.0,5.0,2.0,7.0
of,179.0,263,302,192.0,51,112.0,5569.0,103.0,23.0,101.0,83.0,17.0,23.0,10.0,48.0,14.0,8.0,4.0,1.0,9.0
to,576.0,591,626,301.0,196,106.0,154.0,5313.0,95.0,145.0,161.0,103.0,63.0,165.0,102.0,61.0,14.0,12.0,14.0,32.0
up,186.0,207,63,95.0,30,21.0,20.0,36.0,482.0,6.0,31.0,131.0,54.0,25.0,10.0,1.0,3.0,1.0,3.0,6.0
about,62.0,32,90,77.0,23,25.0,53.0,86.0,2.0,867.0,20.0,2.0,8.0,16.0,3.0,,1.0,2.0,2.0,9.0
from,57.0,221,111,42.0,32,7.0,27.0,36.0,22.0,5.0,302.0,28.0,60.0,5.0,8.0,,8.0,2.0,2.0,1.0
off,18.0,3,4,19.0,2,3.0,1.0,,14.0,,,63.0,4.0,3.0,3.0,1.0,,,,
over,56.0,34,7,2.0,6,1.0,4.0,3.0,10.0,13.0,2.0,14.0,134.0,2.0,6.0,,,,,
into,54.0,94,4,9.0,2,,1.0,12.0,5.0,,3.0,15.0,6.0,94.0,,,,,,
by,22.0,3,9,19.0,4,1.0,4.0,10.0,5.0,2.0,4.0,,3.0,,64.0,6.0,,,1.0,
after,,15,5,,9,2.0,,,,3.0,2.0,,,,1.0,19.0,2.0,1.0,,3.0
than,3.0,13,11,6.0,1,10.0,13.0,3.0,2.0,,1.0,,,,1.0,1.0,153.0,1.0,4.0,5.0
as,31.0,28,52,29.0,13,113.0,13.0,9.0,9.0,9.0,7.0,6.0,5.0,3.0,2.0,21.0,28.0,241.0,14.0,30.0
until,2.0,4,14,,3,1.0,1.0,,4.0,,,1.0,,,2.0,5.0,,,125.0,11.0
before,5.0,5,6,10.0,2,9.0,1.0,3.0,2.0,,3.0,2.0,1.0,1.0,,59.0,2.0,6.0,38.0,130.0
