,at,for,when,from,toward,with,to,by,after,along,until,except,towards,help,passive,while,compare,about,involving
at,452.0,45.0,4.0,17.0,2.0,25.0,,2.0,,2.0,1.0,,1.0,,,,,,
for,427.0,411.0,25.0,40.0,20.0,109.0,4.0,23.0,5.0,,3.0,2.0,1.0,,1.0,1.0,,5.0,2.0
when,55.0,955.0,6.0,13.0,11.0,222.0,8.0,30.0,2.0,,1.0,1.0,,,1.0,,,,
from,853.0,47.0,3.0,108.0,15.0,18.0,3.0,4.0,,1.0,,,,1.0,,,,,
toward,,,,,1.0,,,,,,,,,,,,,,
with,361.0,306.0,12.0,34.0,6.0,173.0,6.0,19.0,1.0,,,3.0,6.0,2.0,,2.0,,1.0,
to,1094.0,813.0,39.0,106.0,128.0,285.0,15.0,77.0,1.0,4.0,4.0,5.0,6.0,3.0,22.0,1.0,1.0,3.0,5.0
by,128.0,26.0,3.0,3.0,2.0,10.0,,5.0,,2.0,,,1.0,,,,,,
after,16.0,15.0,,,1.0,5.0,,1.0,,,,,1.0,2.0,,,,,
along,22.0,2.0,,1.0,,3.0,,,,,,,,,,,,,
until,3.0,19.0,,,,3.0,,,,,,,,,,,,,
except,11.0,,,,,,,2.0,,,,,,,,,,,
towards,,,,,,,,,,,,,,,,,,,
help,91.0,465.0,9.0,21.0,16.0,143.0,6.0,9.0,,3.0,,1.0,,2.0,,1.0,,,
passive,,,,,,,,,,,,,,,,,,,
while,19.0,214.0,,1.0,,26.0,,8.0,,,,,,,,,,,
compare,28.0,2.0,,,,3.0,,,,,,,,,,,,,
about,164.0,40.0,2.0,15.0,6.0,28.0,,8.0,2.0,,,,1.0,,,,,9.0,
involving,,,,,,,,,,,,,,,,,,,
