,at,for,when,from,toward,with,to,by,after,along,until,except,towards,help,passive,while,compare,about,involving
at,562.0,22.0,1.0,18.0,11.0,17.0,,4.0,,1.0,1.0,,,,,,,,
for,544.0,519.0,35.0,43.0,20.0,169.0,5.0,21.0,3.0,4.0,,2.0,5.0,3.0,2.0,1.0,1.0,2.0,4.0
when,69.0,1277.0,3.0,31.0,16.0,243.0,8.0,37.0,2.0,1.0,1.0,4.0,1.0,2.0,,,,,
from,658.0,14.0,,90.0,11.0,8.0,3.0,,,1.0,,,,,,,,,
toward,,1.0,,,1.0,,,,,,,,,,,,,,
with,338.0,204.0,6.0,38.0,4.0,100.0,6.0,10.0,,1.0,,1.0,4.0,,,2.0,,1.0,
to,1159.0,888.0,40.0,108.0,104.0,343.0,14.0,92.0,5.0,3.0,6.0,5.0,6.0,2.0,19.0,1.0,,7.0,3.0
by,92.0,20.0,1.0,,1.0,5.0,1.0,2.0,,,,,,,1.0,,,,
after,14.0,6.0,,6.0,,,,2.0,,,,,,1.0,,,,,
along,10.0,1.0,,,,,,,,,,,,,,,,,
until,1.0,5.0,,,,4.0,,,,,,,,,,,,,
except,13.0,,,,,1.0,,3.0,,,,,,,,,,,
towards,,,,,,,,,,,,,,,,,,,
help,85.0,335.0,12.0,11.0,35.0,128.0,4.0,6.0,1.0,1.0,,,,2.0,2.0,1.0,,,
passive,1.0,,,,,,,,,,,,,,,,,,
while,8.0,11.0,,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,
compare,19.0,2.0,,1.0,,2.0,,,,,,,,,,,,,
about,151.0,55.0,5.0,12.0,4.0,27.0,,10.0,,,1.0,,1.0,,,,,8.0,
involving,,,,,,,,,,,,,,,,,,,
