,at,for,when,from,toward,with,to,by,after,along,until,except,towards,help,passive,while,compare,about,involving
at,1234.0,1124.0,24.0,90.0,83.0,274.0,5.0,43.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,,2.0,4.0
for,80.0,195.0,7.0,2.0,6.0,24.0,,11.0,1.0,1.0,1.0,,1.0,,6.0,,,2.0,1.0
when,,,,,,,,,,,,,,,,,,,
from,22.0,2.0,1.0,8.0,2.0,1.0,,,,,,1.0,,,,,,,
toward,,,,,,,,,,,,,,,,,,,
with,70.0,37.0,2.0,8.0,1.0,23.0,1.0,8.0,,,,,3.0,,,,,,
to,1138.0,924.0,38.0,82.0,50.0,345.0,15.0,36.0,6.0,1.0,3.0,1.0,4.0,3.0,8.0,,,6.0,2.0
by,849.0,673.0,21.0,92.0,53.0,268.0,13.0,54.0,,1.0,3.0,2.0,1.0,2.0,6.0,2.0,1.0,3.0,
after,,,,,,,,,,,,,,,,,,,
along,,,,,,,,,,,,,,,,,,,
until,,,,,,,,,,,,,,,,,,,
except,,,,,,,,,,,,,,,,,,,
towards,,,,,,,,,,,,,,,,,,,
help,3.0,44.0,,,1.0,7.0,1.0,,,,,,,1.0,,,,,
passive,,,,,,,,,,,,,,,,,,,
while,51.0,124.0,2.0,6.0,3.0,14.0,1.0,12.0,,,,,,1.0,1.0,,,,
compare,,,,,,,,,,,,,,,,,,,
about,47.0,31.0,1.0,5.0,2.0,3.0,,10.0,,,,,,,,,,5.0,
involving,,,,,,,,,,,,,,,,,,,
