,在,给,当,往,按,从,对,跟,照,向,被,到,朝,为,随,比,除了,接着,就,不,个,还,受,讲,按照,关于
在,3429.0,47.0,6.0,85.0,12.0,49.0,4.0,27.0,5.0,,5.0,42.0,13.0,,2.0,3.0,2.0,6.0,1.0,,,,,,9.0,1.0
给,6.0,2632.0,6.0,1.0,4.0,,4.0,157.0,6.0,17.0,16.0,,,13.0,4.0,2.0,,,,,,,,,,
当,3.0,42.0,42.0,,1.0,,3.0,16.0,1.0,,2.0,,,,1.0,,1.0,1.0,,,,,,,,
往,17.0,3.0,,108.0,2.0,7.0,,,,1.0,,,6.0,,,,,,,,,,,,,
按,1.0,,,7.0,22.0,,,,1.0,,,,1.0,,,,,,,,,,,,4.0,
从,39.0,2.0,,11.0,1.0,259.0,,3.0,,,1.0,3.0,3.0,,,,,,,,,,,,1.0,
对,15.0,19.0,1.0,,3.0,1.0,121.0,32.0,3.0,5.0,,,3.0,,1.0,1.0,,6.0,,,,,,,,1.0
跟,4.0,135.0,8.0,2.0,1.0,,17.0,729.0,3.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,
照,4.0,7.0,,,2.0,,1.0,,8.0,,,,,,,1.0,,,,,,,,,1.0,
向,1.0,16.0,,29.0,,,1.0,9.0,,8.0,,4.0,4.0,,,,,,,,,,,,,
被,1.0,32.0,2.0,,,,,,,,133.0,1.0,,,,,,,,,,,,,,
到,90.0,43.0,2.0,11.0,1.0,2.0,3.0,10.0,,3.0,,116.0,1.0,,,1.0,1.0,1.0,,,,,,,3.0,2.0
朝,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,
为,4.0,49.0,13.0,,2.0,5.0,,9.0,2.0,1.0,,3.0,,56.0,1.0,3.0,,,,,,,,,,
随,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,1.0,,,,,,,,
比,5.0,20.0,1.0,,1.0,1.0,1.0,7.0,,,1.0,2.0,,,,63.0,2.0,,,,,,,,2.0,5.0
除了,,,,,,,,,,,,,,,,,,,,,,,,,,
接着,,,,,,,,,,,,,,,,,,,,,,,,,,
就,32.0,33.0,1.0,7.0,3.0,4.0,11.0,10.0,5.0,,5.0,2.0,,,,2.0,,4.0,8.0,1.0,1.0,,,1.0,4.0,1.0
不,79.0,40.0,1.0,10.0,9.0,1.0,5.0,8.0,2.0,1.0,1.0,7.0,4.0,,,1.0,3.0,1.0,2.0,7.0,,,1.0,,,2.0
个,21.0,32.0,10.0,4.0,3.0,4.0,4.0,6.0,1.0,,,12.0,,,,3.0,,,,,8.0,,,,1.0,1.0
还,3.0,2.0,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,14.0,,,,
受,,,,,,,,,,,,,,,,,,,,,,,22.0,,,
讲,4.0,66.0,4.0,,4.0,1.0,,9.0,1.0,,,,,,,,,,,,,,,15.0,2.0,
按照,,,,,,,,,,,,,,,,,,,,,,,,,,
关于,,,,,,,,,,,,,,,,,,,,,,,,,,
