,在,给,当,往,按,从,对,跟,照,向,被,到,朝,为,随,比,除了,接着,就,不,个,还,受,讲,按照,关于
在,2995.0,877.0,15.0,184.0,30.0,229.0,60.0,301.0,20.0,10.0,28.0,68.0,23.0,9.0,9.0,28.0,2.0,10.0,2.0,1.0,,,,,21.0,7.0
给,18.0,715.0,8.0,,2.0,2.0,10.0,111.0,3.0,1.0,20.0,1.0,,2.0,,3.0,,,,,,,,2.0,,1.0
当,14.0,81.0,6.0,3.0,,1.0,1.0,20.0,,,6.0,,,,1.0,2.0,,,,,,,,,,
往,2.0,5.0,,4.0,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,
按,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
从,14.0,80.0,1.0,10.0,1.0,65.0,,37.0,,,3.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,
对,16.0,190.0,1.0,2.0,2.0,2.0,8.0,97.0,,1.0,,1.0,1.0,1.0,,5.0,,,,,,,,,,1.0
跟,6.0,136.0,2.0,,1.0,,5.0,171.0,1.0,6.0,3.0,,,,,2.0,,,,,,,,1.0,,
照,16.0,3.0,,1.0,,1.0,,,3.0,,1.0,1.0,,,,,,,,1.0,,,,,,
向,14.0,89.0,,25.0,,4.0,1.0,10.0,,6.0,,3.0,3.0,1.0,,,,,,,,,,,,
被,20.0,77.0,3.0,3.0,,4.0,,14.0,,1.0,73.0,1.0,,,,,,,,,,,6.0,,,
到,209.0,522.0,11.0,18.0,8.0,8.0,4.0,66.0,2.0,5.0,4.0,75.0,2.0,7.0,,8.0,,,,,,1.0,,1.0,1.0,
朝,2.0,,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,
为,61.0,139.0,17.0,3.0,5.0,3.0,3.0,76.0,1.0,3.0,5.0,9.0,1.0,46.0,2.0,7.0,3.0,1.0,,,1.0,,,,,
随,3.0,1.0,1.0,4.0,,,1.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,
比,4.0,13.0,,,,2.0,2.0,12.0,,,,,,,,4.0,,,,,,,,,,
除了,,,,,,,,,,,,,,,,,,,,,,,,,,
接着,,,,,,,,,,,,,,,,,,,,,,,,,,
就,51.0,57.0,1.0,1.0,2.0,3.0,30.0,36.0,,1.0,5.0,,1.0,,,4.0,,2.0,6.0,1.0,3.0,1.0,,1.0,1.0,
不,263.0,184.0,15.0,12.0,15.0,6.0,15.0,51.0,5.0,1.0,15.0,22.0,3.0,4.0,,9.0,2.0,5.0,2.0,5.0,,11.0,7.0,11.0,3.0,
个,43.0,45.0,17.0,4.0,3.0,2.0,4.0,26.0,1.0,2.0,4.0,7.0,2.0,,,7.0,,,,,4.0,,,,1.0,4.0
还,5.0,2.0,1.0,,1.0,,30.0,,,,,,,,,,1.0,,,,,1.0,,,,
受,3.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,10.0,,,
讲,,6.0,,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,
按照,,,,,,,,,,,,,,,,,,,,,,,,,,
关于,,,,,,,,,,,,,,,,,,,,,,,,,,
