,在,给,当,往,按,从,对,跟,照,向,被,到,朝,为,随,比,除了,接着,就,不,个,还,受,讲,按照,关于
在,1951.0,85.0,7.0,65.0,11.0,38.0,1.0,20.0,1.0,2.0,3.0,21.0,12.0,1.0,1.0,4.0,1.0,2.0,1.0,,,2.0,,,5.0,
给,26.0,1465.0,8.0,3.0,1.0,,48.0,137.0,3.0,18.0,28.0,2.0,,3.0,,2.0,,,,,1.0,1.0,,2.0,2.0,
当,2.0,3.0,15.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
往,53.0,1.0,,85.0,2.0,12.0,,2.0,,2.0,,6.0,7.0,,,1.0,,,,,,,,,,
按,9.0,3.0,,5.0,9.0,2.0,,1.0,2.0,,,1.0,2.0,,,1.0,,,,,,,,,5.0,
从,125.0,8.0,,19.0,3.0,220.0,2.0,3.0,,,1.0,4.0,4.0,,,,,,,,,,,,1.0,
对,27.0,59.0,2.0,1.0,2.0,5.0,53.0,43.0,1.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,,,,,,,,,1.0
跟,71.0,552.0,23.0,14.0,6.0,5.0,37.0,678.0,6.0,3.0,3.0,2.0,2.0,12.0,,7.0,,1.0,,,,,,,2.0,1.0
照,4.0,5.0,,,,,1.0,,4.0,1.0,,,,,,,,,,,,,,,,
向,4.0,94.0,,1.0,,3.0,,5.0,,2.0,,5.0,2.0,3.0,,,,,,,,,,,,
被,5.0,76.0,3.0,1.0,,1.0,,6.0,,,90.0,,,,,,,,,,,,2.0,,,
到,969.0,191.0,3.0,42.0,7.0,19.0,3.0,12.0,2.0,5.0,1.0,93.0,2.0,1.0,,1.0,,2.0,,,,,,,2.0,
朝,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,
为,9.0,39.0,5.0,1.0,,1.0,,3.0,1.0,,,1.0,,16.0,,,,,,,,,,,,
随,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
比,13.0,80.0,3.0,3.0,3.0,1.0,4.0,18.0,1.0,,2.0,4.0,,5.0,,46.0,1.0,1.0,,,,,,,2.0,
除了,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
接着,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
就,158.0,240.0,2.0,19.0,7.0,14.0,8.0,57.0,11.0,,23.0,6.0,5.0,9.0,2.0,7.0,,5.0,6.0,3.0,3.0,9.0,,4.0,8.0,
不,156.0,54.0,2.0,5.0,8.0,3.0,12.0,18.0,2.0,,5.0,16.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,5.0,2.0,,1.0,,,
个,90.0,84.0,18.0,1.0,2.0,3.0,2.0,11.0,1.0,1.0,,25.0,,1.0,,3.0,,,,,3.0,,,,,3.0
还,40.0,11.0,2.0,,1.0,,4.0,4.0,,,4.0,,1.0,7.0,,2.0,2.0,5.0,2.0,,,2.0,2.0,1.0,,
受,3.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,18.0,,,
讲,4.0,20.0,2.0,,1.0,1.0,,2.0,,,,,,,,,,1.0,,,,,,9.0,,
按照,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
关于,17.0,39.0,3.0,,2.0,1.0,1.0,6.0,1.0,,1.0,2.0,,5.0,2.0,2.0,,1.0,,,,,,,,8.0
