,of,in,to,between,with,for,you,from,until,than,me,without,above,towards,against
of,2777.0,292.0,600.0,13.0,285.0,328,4.0,3.0,15.0,27.0,2.0,14.0,6.0,,2.0
in,1359.0,3293.0,1290.0,14.0,607.0,996,5.0,39.0,47.0,32.0,7.0,32.0,8.0,10.0,
to,1617.0,848.0,8634.0,7.0,571.0,1476,43.0,10.0,42.0,165.0,37.0,60.0,7.0,6.0,1.0
between,10.0,2.0,3.0,8.0,7.0,3,,,,,,,,1.0,
with,464.0,184.0,323.0,5.0,842.0,178,5.0,2.0,5.0,14.0,1.0,19.0,,,2.0
for,681.0,310.0,919.0,7.0,430.0,799,11.0,9.0,32.0,33.0,7.0,15.0,2.0,1.0,1.0
you,649.0,251.0,1331.0,6.0,235.0,570,176.0,14.0,13.0,88.0,56.0,30.0,1.0,3.0,
from,335.0,124.0,215.0,1.0,57.0,299,1.0,15.0,33.0,1.0,2.0,,,7.0,
until,4.0,2.0,13.0,,8.0,11,,1.0,3.0,1.0,,,,,
than,65.0,12.0,21.0,1.0,13.0,41,5.0,,1.0,30.0,,,,,
me,353.0,93.0,668.0,,102.0,215,93.0,7.0,8.0,25.0,65.0,7.0,,3.0,2.0
without,11.0,4.0,9.0,,7.0,3,,,,,,9.0,,,
above,54.0,12.0,10.0,,5.0,11,,,3.0,9.0,,,3.0,1.0,
towards,,,,,,1,,,,,,,,,
against,1.0,6.0,1.0,,1.0,1,,,,,,,,,2.0
