,of,in,to,between,with,for,you,from,until,than,me,without,above,towards,against
of,3018.0,310.0,635.0,10.0,371.0,334.0,5.0,7.0,9.0,29.0,4.0,7.0,4.0,1.0,2.0
in,1306.0,3375.0,1244.0,11.0,681.0,787.0,2.0,20.0,43.0,33.0,,32.0,10.0,5.0,3.0
to,1430.0,785.0,8707.0,7.0,429.0,1319.0,33.0,8.0,36.0,147.0,27.0,58.0,2.0,4.0,2.0
between,4.0,7.0,3.0,8.0,2.0,1.0,,,,,,,,,
with,241.0,155.0,259.0,7.0,653.0,144.0,2.0,4.0,9.0,9.0,1.0,21.0,,,1.0
for,837.0,337.0,1267.0,7.0,536.0,1028.0,11.0,5.0,35.0,42.0,7.0,14.0,8.0,4.0,1.0
you,709.0,195.0,948.0,5.0,284.0,575.0,122.0,11.0,17.0,110.0,74.0,44.0,1.0,3.0,
from,250.0,112.0,261.0,3.0,48.0,400.0,,30.0,33.0,1.0,,,,11.0,
until,3.0,2.0,3.0,1.0,6.0,6.0,,4.0,3.0,1.0,1.0,,,,
than,69.0,17.0,25.0,2.0,16.0,58.0,7.0,2.0,,35.0,1.0,2.0,,,
me,450.0,129.0,671.0,,136.0,273.0,161.0,8.0,15.0,13.0,62.0,2.0,1.0,4.0,1.0
without,10.0,,3.0,,6.0,1.0,,,,1.0,,5.0,,,
above,58.0,9.0,8.0,1.0,1.0,6.0,,1.0,2.0,4.0,,1.0,1.0,,
towards,,,,,,,,,,,,,,,
against,,,4.0,,1.0,,,,,,,,,,
