,of,in,to,between,with,for,you,from,until,than,me,without,above,towards,against
of,1169.0,58.0,150.0,8.0,56.0,73.0,6.0,,4.0,9.0,2.0,2.0,2.0,,
in,3767.0,3708.0,8281.0,38.0,1651.0,2410.0,61.0,61.0,102.0,161.0,23.0,84.0,16.0,20.0,5.0
to,1315.0,1143.0,3247.0,5.0,447.0,1078.0,86.0,9.0,49.0,118.0,59.0,42.0,4.0,6.0,1.0
between,,,,,,,,,,,,,,,
with,230.0,46.0,101.0,3.0,363.0,38.0,,1.0,1.0,3.0,,7.0,1.0,1.0,1.0
for,294.0,81.0,217.0,1.0,114.0,317.0,,2.0,4.0,13.0,,2.0,,,
you,218.0,23.0,222.0,2.0,38.0,152.0,68.0,,1.0,39.0,27.0,14.0,2.0,,
from,51.0,29.0,61.0,,22.0,35.0,1.0,5.0,2.0,,,,1.0,,
until,,,,,,,,,,,,,,,
than,21.0,2.0,22.0,,3.0,10.0,3.0,1.0,,6.0,,1.0,,,
me,989.0,234.0,1042.0,4.0,275.0,495.0,116.0,15.0,15.0,66.0,62.0,13.0,,1.0,2.0
without,,,,,,,,,,,,,,,
above,,,,,,,,,,,,,,,
towards,,,,,,,,,,,,,,,
against,,,,,,,,,,,,,,,
