,de,en,al,con,para,a,ti,hasta,que,del,por,mí,sin,vamos,va
de,5215.0,334.0,104.0,495.0,426.0,458.0,4.0,34.0,10.0,206.0,261.0,6.0,31.0,,1.0
en,231.0,3677.0,40.0,411.0,90.0,250.0,1.0,24.0,3.0,17.0,200.0,1.0,8.0,1.0,
al,54.0,17.0,1165.0,23.0,17.0,60.0,,2.0,1.0,67.0,28.0,,5.0,,
con,73.0,129.0,7.0,1308.0,24.0,75.0,,7.0,3.0,3.0,24.0,1.0,14.0,,
para,76.0,20.0,1.0,27.0,1121.0,122.0,4.0,8.0,1.0,1.0,30.0,3.0,16.0,1.0,
a,319.0,292.0,127.0,397.0,453.0,9982.0,23.0,30.0,9.0,19.0,207.0,21.0,48.0,6.0,
ti,2.0,,,3.0,,3.0,257.0,,1.0,1.0,1.0,98.0,,,
hasta,6.0,4.0,1.0,8.0,29.0,6.0,,31.0,,,16.0,,,,
que,201.0,105.0,24.0,101.0,146.0,152.0,23.0,13.0,385.0,31.0,100.0,34.0,10.0,5.0,4.0
del,97.0,15.0,116.0,20.0,2.0,11.0,,,,660.0,3.0,,2.0,,
por,158.0,82.0,19.0,87.0,109.0,139.0,4.0,17.0,,5.0,982.0,1.0,2.0,,
mí,,,,,,,,,,,,,,,
sin,3.0,1.0,,4.0,4.0,2.0,,,,,,,31.0,,
vamos,3.0,1.0,2.0,5.0,4.0,6.0,,,4.0,1.0,3.0,,1.0,214.0,22.0
va,8.0,14.0,3.0,8.0,6.0,11.0,,,1.0,1.0,1.0,,1.0,36.0,141.0
