,de,en,al,con,para,a,ti,hasta,que,del,por,mí,sin,vamos,va
de,4283.0,479.0,273.0,680.0,471.0,1282.0,24.0,41.0,32.0,245.0,514.0,8.0,40.0,10.0,2.0
en,461.0,3238.0,132.0,604.0,189.0,506.0,5.0,41.0,7.0,35.0,321.0,1.0,14.0,5.0,1.0
al,123.0,43.0,736.0,53.0,72.0,250.0,1.0,2.0,2.0,94.0,39.0,1.0,11.0,,
con,94.0,146.0,24.0,733.0,19.0,118.0,1.0,5.0,1.0,10.0,71.0,,11.0,1.0,
para,101.0,16.0,9.0,34.0,872.0,578.0,2.0,7.0,1.0,,62.0,,28.0,12.0,
a,634.0,491.0,208.0,488.0,351.0,7649.0,26.0,27.0,21.0,32.0,234.0,16.0,33.0,13.0,4.0
ti,4.0,4.0,1.0,7.0,7.0,57.0,117.0,,1.0,1.0,13.0,59.0,1.0,,
hasta,14.0,14.0,,12.0,32.0,26.0,1.0,12.0,,,19.0,,2.0,,
que,308.0,114.0,36.0,76.0,162.0,324.0,133.0,10.0,348.0,41.0,119.0,78.0,10.0,12.0,4.0
del,158.0,14.0,169.0,14.0,11.0,45.0,2.0,,,551.0,6.0,,4.0,,
por,213.0,122.0,12.0,172.0,194.0,279.0,3.0,18.0,2.0,3.0,434.0,,2.0,1.0,1.0
mí,,,,,,,,,,,,,,,
sin,10.0,2.0,4.0,14.0,6.0,15.0,,,1.0,,4.0,1.0,8.0,,
vamos,3.0,1.0,1.0,3.0,20.0,82.0,,,1.0,,1.0,,3.0,136.0,14.0
va,40.0,7.0,4.0,7.0,25.0,66.0,1.0,3.0,1.0,,19.0,1.0,2.0,73.0,142.0
