,de,en,al,con,para,a,ti,hasta,que,del,por,mí,sin,vamos,va
de,3388.0,611.0,148.0,385.0,286.0,965.0,49.0,26.0,31.0,228.0,434.0,42.0,28.0,22.0,36.0
en,486.0,1978.0,169.0,398.0,139.0,570.0,1.0,28.0,26.0,66.0,217.0,1.0,14.0,35.0,3.0
al,52.0,7.0,381.0,1.0,13.0,117.0,,1.0,2.0,26.0,7.0,,1.0,,
con,93.0,352.0,11.0,735.0,25.0,75.0,,4.0,,3.0,35.0,1.0,5.0,,
para,84.0,21.0,3.0,31.0,749.0,177.0,2.0,7.0,,2.0,16.0,1.0,10.0,3.0,1.0
a,1633.0,1256.0,553.0,943.0,844.0,8306.0,120.0,70.0,83.0,273.0,575.0,62.0,74.0,116.0,33.0
ti,39.0,31.0,12.0,20.0,7.0,41.0,4.0,1.0,3.0,19.0,8.0,2.0,1.0,2.0,4.0
hasta,1.0,1.0,,,3.0,,,3.0,,,,,,,
que,336.0,212.0,138.0,149.0,162.0,565.0,80.0,16.0,269.0,92.0,108.0,35.0,11.0,7.0,3.0
del,55.0,8.0,95.0,5.0,4.0,20.0,47.0,2.0,,273.0,5.0,11.0,2.0,,
por,76.0,47.0,2.0,61.0,89.0,148.0,11.0,2.0,1.0,2.0,372.0,4.0,,,
mí,1.0,,,,4.0,5.0,,,,,,2.0,,,
sin,13.0,2.0,3.0,19.0,8.0,21.0,2.0,,,2.0,2.0,1.0,15.0,,1.0
vamos,,,,,,,,,,,,,,,
va,122.0,142.0,37.0,86.0,59.0,167.0,,2.0,2.0,11.0,68.0,3.0,1.0,78.0,87.0
